Stars,Title_of_Review,Base_Review,,,
5.0 out of 5 stars,Especially helpful are text reflow (very useful for small screen reading),"It does everything that you'd want for PDFs. Especially helpful are text reflow (very useful for small screen reading), and ability to mark up (highlight, underline, add text, etc.). Excellent utility!",,,
4.0 out of 5 stars,Anything to replace Adobe Acrobat,Just starting out with this app shows much promise.  The capabilities are useful and the lack of permissions is even thoughtful. I'm quite pleased so far and it appears to be well worth the purchase price.,,,
1.0 out of 5 stars,Crap app.,"Can't use at all.  App crashes as soon as file is opened.  It's crap.  Plus, there's no way to get support.  No help file.",,,
5.0 out of 5 stars,Great PDF App!,I use this application daily. It is loaded with features and I have yet to experience any issues.,,,
1.0 out of 5 stars,WILL NOT OPEN PDF,I just downloaded this and immediately it doesn't work.,,,
4.0 out of 5 stars,So far so good,I have only used this app for reading PDF documents and so far so good. Never has crashed or stopped working. But I have not tried any other professional feature it has.,,,
1.0 out of 5 stars,CRASHES INSTANTLLY,CRASHES INSTANTLY ON AMAZON FIRE. DO NOT BUY!,,,
1.0 out of 5 stars,Not forking on my Fire HD 8 (2016),"Tried to upload several different (in size, origin, location...) PDFs, every time app shuts down. Cleared cashe, reinstalled it - did not help. Not working!",,,
5.0 out of 5 stars,Great app!,Just scratching the surface on the functions of this little powerhouse but so far I am impressed.  Reads PDFs quickly and smoothly (loads faster than the stock Kindle app on my FireHDX) and even has the text-to-speech function.  Works great!,,,
5.0 out of 5 stars,Five Stars,was free,,,
3.0 out of 5 stars,Why can't I hide the stupid toolbar?,Why am I forced to look at this obnoxious tool bar when I'm trying to read a PDF? there is no obvious way to hide this thing! I can't rate it higher than one star because it useless for reading PDFs!,,,
1.0 out of 5 stars,Waste of money.,I should have believed the reviews. Crashes on everything that I try to open. Waste of money. Big disappointment!,,,
1.0 out of 5 stars,Needs (lots of) work...,"For starters, can't exit app without saving changes--UNBELIEVABLE! Undo button would be nice. And how about a next/previous button to scroll through search results?",,,
3.0 out of 5 stars,its ok,Don't like the fact that you can't change the font size or turn to night time view. When you let it read for you you can't move it forward you have to wait for it to get to the part you want.,,,
1.0 out of 5 stars,Amazon fire HD10,PDF MAX or PRO is NOT compatible with Amazon Fire HD10.I paid for a useless digital product.,,,
5.0 out of 5 stars,Super easy to use!,I use this app all the time. It is great for personal and my business. It is super easy to use.,,,
2.0 out of 5 stars,"In the Evernote app, for Android, click on ...","In the Evernote app, for Android, click on a PDF attachment and - ugh! PDF Max 4 replies it's an ""invalid file"". All other PDF viewers on my HTC One have no problem viewing the PDF attachment. So, PDF Max 4 is now uninstalled.",,,
2.0 out of 5 stars,Doesn't look like much,"I don't read that many PDF files period, much less on a smart phone or notepad. But at $8 for the app, and it being free today, I figured it was worth a look. And my first look was unimpressive. Really? No one could take the time to write an introduction or some basic instructions? For $8? This is a perfect example of why I don't buy apps I can't try.I would suggest to the developer to include a sample PDF document, so that when you open the app, you can see that it actually works. Better yet, use that sample PDF document as a mini-tutorial.I've been working with computer technology since the 1980s and can certainly figure how to work this app. But I like to speak up for those less experienced and made to feel stupid because they can't figure something out...when the real problem is not the user but the software.",,,
5.0 out of 5 stars,great app for pdf,I use this app numerous times a week and it's really user friendly.,,,
5.0 out of 5 stars,Loads waaaaay faster and it's easy to use,"Works faster than adobe reader on both my Galaxy S4 and Nexus 7.  Loads waaaaay faster and it's easy to use, it also has great features that makes it superior to adobe.",,,
5.0 out of 5 stars,Great viewer,"I've been using kindle to read pdf files but when I got the map of LA to travel, kindle just couldn't zoom in the ridiculously large map to let me see the number of bus I need to take. So I got this and this can do a lot of stuff. Great thing. I am glad I got this :>",,,
3.0 out of 5 stars,I'm having issues with this app. help!,"It says it has saved but then I go back in and my highlights and underlines are gone. It asked if I wanted to ""back up"" I said yes and it doesn't appear to have done anything. A few seconds later the app ""encountered a problem"" and forced close on me :(",,,
3.0 out of 5 stars,Pretty good but,"I'm not sure it's seven or eight dollars good. It works as the free app of the day, but I'd be hesitant to spend money on it.",,,
